id,age,gender,current_country,highest_education_level,current_role,company_size,workplace_uses_machine_learning,yearly_salary,money_spent_on_ml,primary_analyzing_tool,time_coding,time_using_ml_methods
4565,30-34,Male,Brazil,Bachelors degree,Data Scientist,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"50,000-59,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,4-5 years
4566,45-49,Male,Canada,Doctoral degree,Data Scientist,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"70,000-79,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",20+ years,5-10 years
4567,45-49,Male,Germany,Doctoral degree,Data Scientist,50-249 employees,We have well established ML methods (i.e. models in production for more than 2 years),"60,000-69,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,10-15 years
4568,18-21,Male,India,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4569,30-34,Male,Spain,Masters degree,Data Analyst,1000-9999 employees,No (we do not use ML methods),"30,000-39,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
4570,35-39,Male,Other,Bachelors degree,Software Engineer,0-49 employees,No (we do not use ML methods),"15,000-19,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
4571,25-29,Female,India,Masters degree,Data Analyst,> 10000 employees,I do not know,"1,000-1,999",0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1-2 years,1-2 years
4572,25-29,Male,Other,Doctoral degree,Research Scientist,1000-9999 employees,We use ML methods for generating insights (but do not put working models into production),"3,000-3,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,5-10 years
4573,45-49,Male,Brazil,Doctoral degree,Other,1000-9999 employees,I do not know,"40,000-49,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4574,40-44,Male,Greece,Masters degree,Other,50-249 employees,No (we do not use ML methods),"10,000-14,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5-10 years,3-4 years
4575,25-29,Female,Brazil,Masters degree,Data Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),0-999,100-999,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
4576,18-21,Male,Nigeria,Bachelors degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
4577,40-44,Female,Canada,Doctoral degree,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,5-10 years
4578,22-24,Male,India,Masters degree,Student,,,,,Other,1-2 years,< 1 years
4579,25-29,Male,United States of America,Masters degree,Other,50-249 employees,No (we do not use ML methods),"25,000-29,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
4580,35-39,Male,Italy,Masters degree,Not employed,,,,,Other,3-5 years,4-5 years
4581,25-29,Male,Austria,Masters degree,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,1-2 years
4582,30-34,Male,Philippines,Masters degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),0-999,0,"Advanced statistical software (SPSS, SAS, etc.)",3-5 years,2-3 years
4583,25-29,Male,Brazil,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4584,22-24,Male,Italy,Masters degree,Data Scientist,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"20,000-24,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
4585,25-29,Male,Other,Masters degree,Business Analyst,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"30,000-39,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
4586,22-24,Male,Egypt,Bachelors degree,Not employed,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,1-2 years
4587,25-29,Male,United States of America,Masters degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,2-3 years
4588,35-39,Female,Brazil,Masters degree,Product/Project Manager,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"30,000-39,999","1000-9,999","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",I have never written code,
4589,18-21,Male,Ukraine,Masters degree,Data Analyst,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",100-999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,2-3 years
4590,22-24,Female,Indonesia,Bachelors degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),0-999,ene-99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
4591,35-39,Male,United States of America,Doctoral degree,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"300,000-500,000","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,5-10 years
4592,22-24,Male,Germany,Masters degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4593,22-24,Male,Kenya,Bachelors degree,Statistician,0-49 employees,No (we do not use ML methods),0-999,0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4594,18-21,Male,Other,No formal education past high school,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4595,25-29,Female,Spain,Masters degree,Data Scientist,0-49 employees,No (we do not use ML methods),"30,000-39,999","1000-9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
4596,35-39,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"40,000-49,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,3-4 years
4597,22-24,Female,Nigeria,Bachelors degree,Student,,,,,Other,I have never written code,
4598,22-24,Male,United Kingdom of Great Britain and Northern Ireland,Masters degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4599,25-29,Male,China,Masters degree,Product/Project Manager,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"25,000-29,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
4600,40-44,Male,Russia,Doctoral degree,Software Engineer,0-49 employees,No (we do not use ML methods),"15,000-19,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
4601,50-54,Male,Colombia,Some college/university study without earning a Bachelors degree,Data Analyst,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"2,000-2,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4602,40-44,Male,Brazil,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4603,25-29,Male,United States of America,Masters degree,Business Analyst,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4604,30-34,Male,Other,Masters degree,Statistician,1000-9999 employees,No (we do not use ML methods),"20,000-24,999",0,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,< 1 years
4605,30-34,Male,Spain,Masters degree,Statistician,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",0,"Advanced statistical software (SPSS, SAS, etc.)",5-10 years,5-10 years
4606,22-24,Male,Morocco,Some college/university study without earning a Bachelors degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),0-999,100-999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
4607,35-39,Male,Japan,No formal education past high school,DBA/Database Engineer,250-999 employees,No (we do not use ML methods),"4,000-4,999",0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4608,60-69,Male,Belgium,No formal education past high school,Other,50-249 employees,No (we do not use ML methods),"10,000-14,999",100-999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,1-2 years
4609,25-29,Male,Austria,Masters degree,Data Analyst,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
4610,25-29,Male,Taiwan,Masters degree,Software Engineer,> 10000 employees,I do not know,"25,000-29,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4611,40-44,Male,United States of America,Doctoral degree,Data Scientist,1000-9999 employees,I do not know,"70,000-79,999",0,Other,10-20 years,2-3 years
4612,30-34,Male,United States of America,Bachelors degree,Data Scientist,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"125,000-149,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
4613,55-59,Male,Chile,Masters degree,Research Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"30,000-39,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",20+ years,10-15 years
4614,30-34,Male,Russia,Masters degree,Data Scientist,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"50,000-59,999","10,000-99,999",Other,5-10 years,4-5 years
4615,55-59,Male,Brazil,Doctoral degree,Data Scientist,1000-9999 employees,No (we do not use ML methods),0-999,0,"Local development environments (RStudio, JupyterLab, etc.)",10-20 years,4-5 years
4616,35-39,Male,United States of America,Masters degree,Data Scientist,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"150,000-199,999","10,000-99,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,4-5 years
4617,22-24,Male,Kenya,Bachelors degree,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),0-999,ene-99,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3-5 years,< 1 years
4618,25-29,Male,Italy,Bachelors degree,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),0-999,100-999,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4619,40-44,Male,Poland,Masters degree,Other,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,1-2 years
4620,70+,Male,United States of America,Masters degree,DBA/Database Engineer,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
4621,25-29,Male,United States of America,Bachelors degree,Statistician,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
4622,18-21,Male,India,Masters degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
4623,50-54,Female,United States of America,Masters degree,Other,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"150,000-199,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,20+ years
4624,25-29,Male,Other,Masters degree,Data Scientist,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"40,000-49,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,4-5 years
4625,40-44,Male,Germany,Doctoral degree,Research Scientist,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"80,000-89,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,10-15 years
4626,35-39,Male,France,Masters degree,Product/Project Manager,> 10000 employees,No (we do not use ML methods),"70,000-79,999","1000-9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,< 1 years
4627,40-44,Female,Other,Bachelors degree,Software Engineer,0-49 employees,No (we do not use ML methods),"3,000-3,999",0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",20+ years,3-4 years
4628,55-59,Male,Russia,Masters degree,Software Engineer,> 10000 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
4629,22-24,Male,China,Masters degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,1-2 years
4630,22-24,Female,South Korea,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4631,55-59,Male,United States of America,Doctoral degree,Research Scientist,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"150,000-199,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,5-10 years
4632,35-39,Male,United States of America,Masters degree,Statistician,1000-9999 employees,No (we do not use ML methods),"100,000-124,999",0,"Advanced statistical software (SPSS, SAS, etc.)",5-10 years,< 1 years
4633,40-44,Male,Other,Masters degree,Data Scientist,50-249 employees,We have well established ML methods (i.e. models in production for more than 2 years),"30,000-39,999","1000-9,999","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3-5 years,< 1 years
4634,45-49,Male,Saudi Arabia,Bachelors degree,Product/Project Manager,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999","1000-9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,3-4 years
4635,22-24,Male,Peru,Masters degree,Data Analyst,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"7,500-9,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4636,18-21,Male,Brazil,Masters degree,Other,50-249 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",ene-99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,< 1 years
4637,50-54,Male,United States of America,Bachelors degree,Product/Project Manager,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"200,000-249,999","> 100,000","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",I have never written code,
4638,22-24,Female,India,Bachelors degree,Software Engineer,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"10,000-14,999",0,Other,< 1 years,1-2 years
4639,22-24,Male,Pakistan,Bachelors degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
4640,30-34,Male,Japan,Masters degree,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4641,50-54,Male,Japan,Bachelors degree,Business Analyst,1000-9999 employees,No (we do not use ML methods),"100,000-124,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
4642,22-24,Male,Brazil,Professional degree,Data Engineer,50-249 employees,No (we do not use ML methods),"7,500-9,999",0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1-2 years,1-2 years
4643,18-21,Male,South Korea,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4644,50-54,Male,Canada,Bachelors degree,Software Engineer,0-49 employees,No (we do not use ML methods),"80,000-89,999",100-999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,1-2 years
4645,30-34,Male,India,Masters degree,Data Analyst,0-49 employees,No (we do not use ML methods),"25,000-29,999",ene-99,Other,5-10 years,2-3 years
4646,45-49,Male,United States of America,Doctoral degree,Research Scientist,> 10000 employees,I do not know,"100,000-124,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,5-10 years
4647,40-44,Male,Brazil,Bachelors degree,Research Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"> 500,000",100-999,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",10-20 years,2-3 years
4648,60-69,Male,Chile,Masters degree,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",10-20 years,20+ years
4649,25-29,Male,Other,Masters degree,Other,50-249 employees,No (we do not use ML methods),0-999,100-999,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",< 1 years,< 1 years
4650,50-54,Male,United States of America,Bachelors degree,Data Analyst,50-249 employees,We have well established ML methods (i.e. models in production for more than 2 years),"100,000-124,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
4651,40-44,Male,Spain,Masters degree,Data Scientist,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"90,000-99,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,5-10 years
4652,35-39,Male,Canada,Doctoral degree,Data Scientist,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"100,000-124,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,3-4 years
4653,25-29,Male,Colombia,Professional degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4654,35-39,Male,Nigeria,Masters degree,Not employed,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4655,35-39,Male,Chile,Professional degree,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999","1000-9,999",Other,3-5 years,1-2 years
4656,25-29,Male,France,Masters degree,Data Scientist,50-249 employees,We have well established ML methods (i.e. models in production for more than 2 years),"50,000-59,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
4657,22-24,Male,India,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4658,25-29,Male,United States of America,Masters degree,Software Engineer,1000-9999 employees,No (we do not use ML methods),"70,000-79,999",100-999,Other,5-10 years,2-3 years
4659,40-44,Male,Brazil,Masters degree,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999","> 100,000","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,5-10 years
4660,22-24,Male,India,Masters degree,Data Analyst,0-49 employees,I do not know,0-999,0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4661,50-54,Male,Belgium,Doctoral degree,Data Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"60,000-69,999",100-999,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",10-20 years,20+ years
4662,25-29,Male,South Africa,Doctoral degree,Student,,,,,Other,3-5 years,2-3 years
4663,35-39,Male,Portugal,Masters degree,Software Engineer,0-49 employees,No (we do not use ML methods),"25,000-29,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",10-20 years,< 1 years
4664,35-39,Male,Peru,Masters degree,Other,250-999 employees,We are exploring ML methods (and may one day put a model into production),"4,000-4,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
4665,35-39,Male,Brazil,Masters degree,Data Analyst,> 10000 employees,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
4666,25-29,Female,Brazil,Masters degree,Business Analyst,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,< 1 years
4667,40-44,Male,Other,I prefer not to answer,Not employed,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4668,30-34,Male,Brazil,Masters degree,Other,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"25,000-29,999",ene-99,"Advanced statistical software (SPSS, SAS, etc.)",1-2 years,< 1 years
4669,22-24,Female,Mexico,No formal education past high school,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,< 1 years
4670,50-54,Male,United States of America,Masters degree,Data Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"125,000-149,999","10,000-99,999","Advanced statistical software (SPSS, SAS, etc.)",10-20 years,10-15 years
4671,50-54,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,250-999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"40,000-49,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,4-5 years
4672,22-24,Female,United States of America,Bachelors degree,Other,250-999 employees,No (we do not use ML methods),0-999,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
4673,30-34,Female,Argentina,Masters degree,Data Scientist,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"15,000-19,999","1000-9,999",Other,3-5 years,1-2 years
4674,35-39,Male,United States of America,Masters degree,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
4675,22-24,Male,United States of America,Masters degree,Data Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"100,000-124,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
4676,60-69,Male,Switzerland,Masters degree,Statistician,0-49 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999","1000-9,999",Other,5-10 years,2-3 years
4677,45-49,Male,Canada,Bachelors degree,Research Scientist,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",ene-99,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",5-10 years,< 1 years
4678,22-24,Male,India,Professional degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4679,22-24,Male,United Kingdom of Great Britain and Northern Ireland,Masters degree,Data Scientist,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),0-999,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
4680,45-49,Female,Ireland,Masters degree,Not employed,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,1-2 years
4681,22-24,Male,India,Masters degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4682,25-29,Female,United States of America,Masters degree,Data Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,< 1 years
4683,25-29,Male,South Korea,Bachelors degree,Student,,,,,Other,< 1 years,< 1 years
4684,25-29,Male,Peru,Bachelors degree,Other,0-49 employees,No (we do not use ML methods),0-999,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
4685,40-44,Male,France,Masters degree,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999","1000-9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,20+ years
4686,70+,Male,Russia,No formal education past high school,Software Engineer,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"2,000-2,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",10-20 years,3-4 years
4687,22-24,Male,India,Bachelors degree,Other,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
4688,55-59,Male,Sweden,Bachelors degree,Product/Project Manager,50-249 employees,No (we do not use ML methods),"40,000-49,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4689,18-21,Male,India,Masters degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4690,30-34,Male,Sweden,Masters degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
4691,18-21,Male,Brazil,Bachelors degree,Software Engineer,250-999 employees,I do not know,"5,000-7,499","10,000-99,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",< 1 years,< 1 years
4692,45-49,Male,Turkey,Bachelors degree,Other,250-999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"60,000-69,999","10,000-99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,1-2 years
4693,35-39,Male,Turkey,Professional degree,Data Engineer,1000-9999 employees,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999","10,000-99,999","Advanced statistical software (SPSS, SAS, etc.)",5-10 years,3-4 years
4694,35-39,Male,Russia,Masters degree,Software Engineer,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"30,000-39,999",100-999,Other,5-10 years,1-2 years
4695,40-44,Male,Brazil,Masters degree,Product/Project Manager,1000-9999 employees,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,4-5 years
4696,25-29,Female,Chile,Professional degree,Data Scientist,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"25,000-29,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,< 1 years
4697,18-21,Male,Brazil,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4698,35-39,Male,Australia,Bachelors degree,Statistician,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"150,000-199,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",20+ years,10-15 years
4699,35-39,Male,Chile,Doctoral degree,Data Scientist,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"2,000-2,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,5-10 years
4700,25-29,Male,India,Masters degree,Student,,,,,"Advanced statistical software (SPSS, SAS, etc.)",I have never written code,
4701,25-29,Female,South Korea,Bachelors degree,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
4702,18-21,Female,India,Bachelors degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
4703,22-24,Male,Pakistan,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",I have never written code,
4704,55-59,Male,United States of America,Masters degree,Data Scientist,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"300,000-500,000",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",20+ years,20+ years
4705,50-54,Male,Austria,Doctoral degree,Other,0-49 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,3-4 years
4706,30-34,Male,United States of America,Bachelors degree,Other,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"125,000-149,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,4-5 years
4707,18-21,Female,Brazil,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
4708,25-29,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"5,000-7,499","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
4709,18-21,Male,India,Bachelors degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
4710,30-34,Male,Taiwan,Masters degree,Data Scientist,250-999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"50,000-59,999","1000-9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5-10 years,5-10 years
4711,30-34,Male,Spain,Doctoral degree,Data Scientist,> 10000 employees,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
